Time now: 2022-09-08 17:28:33 -0700 PDT . Ending at 2022-09-08 17:38:33 -0700 PDT
Bounds are: [1 2 4 8 16 32 64 128 256 512 1024 2048 3072 4096 5120 6144 7168 8192 9216 10240 11264 12288 13312 14336 15360 16384 17408 18432 19456 20480 21504 22528 23552 24576 25600 26624 27648 28672 29696 30720 31744 32768 33792 34816 35840 36864 37888 38912 39936 40960 41984 43008 44032 45056 46080 47104 48128 49152 50176 51200 52224 53248 54272 55296 56320 57344 58368 59392 60416 61440 62464 63488 64512 65536 66560 67584 68608 69632 70656 71680 72704 73728 74752 75776 76800 77824 78848 79872 80896 81920 82944 83968 84992 86016 87040 88064 89088 90112 91136 92160 93184 94208 95232 96256 97280 98304 99328 100352 101376 102400 103424 104448 105472 106496 107520 108544 109568 110592 111616 112640 113664 114688 115712 116736 117760 118784 119808 120832 121856 122880 123904 124928 125952 126976 128000 129024 130048 131072 132096 133120 134144 135168 136192 137216 138240 139264 140288 141312 142336 143360 144384 145408 146432 147456 148480 149504 150528 151552 152576 153600 154624 155648 156672 157696 158720 159744 160768 161792 162816 163840 164864 165888 166912 167936 168960 169984 171008 172032 173056 174080 175104 176128 177152 178176 179200 180224 181248 182272 183296 184320 185344 186368 187392 188416 189440 190464 191488 192512 193536 194560 195584 196608 197632 198656 199680 200704 201728 202752 203776 204800 205824 206848 207872 208896 209920 210944 211968 212992 214016 215040 216064 217088 218112 219136 220160 221184 222208 223232 224256 225280 226304 227328 228352 229376 230400 231424 232448 233472 234496 235520 236544 237568 238592 239616 240640 241664 242688 243712 244736 245760 246784 247808 248832 249856 250880 251904 252928 253952 254976 256000 257024 258048 259072 260096 261120 262144 263168 264192 265216 266240 267264 268288 269312 270336 271360 272384 273408 274432 275456 276480 277504 278528 279552 280576 281600 282624 283648 284672 285696 286720 287744 288768 289792 290816 291840 292864 293888 294912 295936 296960 297984 299008 300032 301056 302080 303104 304128 305152 306176 307200 308224 309248 310272 311296 312320 313344 314368 315392 316416 317440 318464 319488 320512 321536 322560 323584 324608 325632 326656 327680 328704 329728 330752 331776 332800 333824 334848 335872 336896 337920 338944 339968 340992 342016 343040 344064 345088 346112 347136 348160 349184 350208 351232 352256 353280 354304 355328 356352 357376 358400 359424 360448 361472 362496 363520 364544 365568 366592 367616 368640 369664 370688 371712 372736 373760 374784 375808 376832 377856 378880 379904 380928 381952 382976 384000 385024 386048 387072 388096 389120 390144 391168 392192 393216 394240 395264 396288 397312 398336 399360 400384 401408 402432 403456 404480 405504 406528 407552 408576 409600 410624 411648 412672 413696 414720 415744 416768 417792 418816 419840 420864 421888 422912 423936 424960 425984 427008 428032 429056 430080 431104 432128 433152 434176 435200 436224 437248 438272 439296 440320 441344 442368 443392 444416 445440 446464 447488 448512 449536 450560 451584 452608 453632 454656 455680 456704 457728 458752 459776 460800 461824 462848 463872 464896 465920 466944 467968 468992 470016 471040 472064 473088 474112 475136 476160 477184 478208 479232 480256 481280 482304 483328 484352 485376 486400 487424 488448 489472 490496 491520 492544 493568 494592 495616 496640 497664 498688 499712 500736 501760 502784 503808 504832 505856 506880 507904 508928 509952 510976 512000 513024 514048 515072 516096 517120 518144 519168 520192 521216 522240 523264 524288 525312 526336 527360 528384 529408 530432 531456 532480 533504 534528 535552 536576 537600 538624 539648 540672 541696 542720 543744 544768 545792 546816 547840 548864 549888 550912 551936 552960 553984 555008 556032 557056 558080 559104 560128 561152 562176 563200 564224 565248 566272 567296 568320 569344 570368 571392 572416 573440 574464 575488 576512 577536 578560 579584 580608 581632 582656 583680 584704 585728 586752 587776 588800 589824 590848 591872 592896 593920 594944 595968 596992 598016 599040 600064 601088 602112 603136 604160 605184 606208 607232 608256 609280 610304 611328 612352 613376 614400 615424 616448 617472 618496 619520 620544 621568 622592 623616 624640 625664 626688 627712 628736 629760 630784 631808 632832 633856 634880 635904 636928 637952 638976 640000 641024 642048 643072 644096 645120 646144 647168 648192 649216 650240 651264 652288 653312 654336 655360 656384 657408 658432 659456 660480 661504 662528 663552 664576 665600 666624 667648 668672 669696 670720 671744 672768 673792 674816 675840 676864 677888 678912 679936 680960 681984 683008 684032 685056 686080 687104 688128 689152 690176 691200 692224 693248 694272 695296 696320 697344 698368 699392 700416 701440 702464 703488 704512 705536 706560 707584 708608 709632 710656 711680 712704 713728 714752 715776 716800 717824 718848 719872 720896 721920 722944 723968 724992 726016 727040 728064 729088 730112 731136 732160 733184 734208 735232 736256 737280 738304 739328 740352 741376 742400 743424 744448 745472 746496 747520 748544 749568 750592 751616 752640 753664 754688 755712 756736 757760 758784 759808 760832 761856 762880 763904 764928 765952 766976 768000 769024 770048 771072 772096 773120 774144 775168 776192 777216 778240 779264 780288 781312 782336 783360 784384 785408 786432 787456 788480 789504 790528 791552 792576 793600 794624 795648 796672 797696 798720 799744 800768 801792 802816 803840 804864 805888 806912 807936 808960 809984 811008 812032 813056 814080 815104 816128 817152 818176 819200 820224 821248 822272 823296 824320 825344 826368 827392 828416 829440 830464 831488 832512 833536 834560 835584 836608 837632 838656 839680 840704 841728 842752 843776 844800 845824 846848 847872 848896 849920 850944 851968 852992 854016 855040 856064 857088 858112 859136 860160 861184 862208 863232 864256 865280 866304 867328 868352 869376 870400 871424 872448 873472 874496 875520 876544 877568 878592 879616 880640 881664 882688 883712 884736 885760 886784 887808 888832 889856 890880 891904 892928 893952 894976 896000 897024 898048 899072 900096 901120 902144 903168 904192 905216 906240 907264 908288 909312 910336 911360 912384 913408 914432 915456 916480 917504 918528 919552 920576 921600 922624 923648 924672 925696 926720 927744 928768 929792 930816 931840 932864 933888 934912 935936 936960 937984 939008 940032 941056 942080 943104 944128 945152 946176 947200 948224 949248 950272 951296 952320 953344 954368 955392 956416 957440 958464 959488 960512 961536 962560 963584 964608 965632 966656 967680 968704 969728 970752 971776 972800 973824 974848 975872 976896 977920 978944 979968 980992 982016 983040 984064 985088 986112 987136 988160 989184 990208 991232 992256 993280 994304 995328 996352 997376 998400 999424 1.000448e+06 1.001472e+06 1.002496e+06 1.00352e+06 1.004544e+06 1.005568e+06 1.006592e+06 1.007616e+06 1.00864e+06 1.009664e+06 1.010688e+06 1.011712e+06 1.012736e+06 1.01376e+06 1.014784e+06 1.015808e+06 1.016832e+06 1.017856e+06 1.01888e+06 1.019904e+06 1.020928e+06 1.021952e+06 1.022976e+06 1.024e+06 1.025024e+06 1.026048e+06 1.027072e+06 1.028096e+06 1.02912e+06 1.030144e+06 1.031168e+06 1.032192e+06 1.033216e+06 1.03424e+06 1.035264e+06 1.036288e+06 1.037312e+06 1.038336e+06 1.03936e+06 1.040384e+06 1.041408e+06 1.042432e+06 1.043456e+06 1.04448e+06 1.045504e+06 1.046528e+06 1.047552e+06 1.048576e+06 1.0496e+06]
Num Blocks:     0 | Num Queries:   47 | Num 429:    0 | CUs:  713 | Data: 0 B [     1s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:   79 | Num 429:    8 | CUs: 1193 | Data: 0 B [     2s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  108 | Num 429:    8 | CUs: 1628 | Data: 0 B [     3s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  149 | Num 429:   16 | CUs: 2243 | Data: 0 B [     4s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  165 | Num 429:   16 | CUs: 2483 | Data: 0 B [     5s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  219 | Num 429:   24 | CUs: 3293 | Data: 0 B [     6s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  227 | Num 429:   24 | CUs: 3413 | Data: 0 B [     7s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  287 | Num 429:   32 | CUs: 4313 | Data: 0 B [     8s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  289 | Num 429:   32 | CUs: 4343 | Data: 0 B [     9s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  356 | Num 429:   38 | CUs: 5348 | Data: 0 B [    10s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  356 | Num 429:   40 | CUs: 5348 | Data: 0 B [    11s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  423 | Num 429:   41 | CUs: 6353 | Data: 0 B [    12s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  423 | Num 429:   48 | CUs: 6353 | Data: 0 B [    13s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  488 | Num 429:   48 | CUs: 7328 | Data: 0 B [    14s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  492 | Num 429:   56 | CUs: 7388 | Data: 0 B [    15s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  536 | Num 429:   56 | CUs: 8048 | Data: 0 B [    16s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  562 | Num 429:   64 | CUs: 8438 | Data: 0 B [    17s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  598 | Num 429:   64 | CUs: 8978 | Data: 0 B [    18s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  630 | Num 429:   72 | CUs: 9458 | Data: 0 B [    19s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  659 | Num 429:   72 | CUs: 9893 | Data: 0 B [    20s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  698 | Num 429:   80 | CUs: 10478 | Data: 0 B [    21s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  719 | Num 429:   80 | CUs: 10793 | Data: 0 B [    22s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  768 | Num 429:   87 | CUs: 11528 | Data: 0 B [    23s @ 0 blocks/sec ]
Num Blocks:     0 | Num Queries:  790 | Num 429:   87 | CUs: 11858 | Data: 0 B [    24s @ 0 blocks/sec ]
Num Blocks:     1 | Num Queries:  841 | Num 429:   94 | CUs: 12624 | Data: 331 KiB [    25s @ 0 blocks/sec ]
Num Blocks:     1 | Num Queries:  853 | Num 429:   94 | CUs: 12804 | Data: 331 KiB [    26s @ 0 blocks/sec ]
Num Blocks:     1 | Num Queries:  917 | Num 429:  100 | CUs: 13764 | Data: 331 KiB [    27s @ 0 blocks/sec ]
Num Blocks:     1 | Num Queries:  934 | Num 429:  100 | CUs: 14019 | Data: 331 KiB [    28s @ 0 blocks/sec ]
Num Blocks:     1 | Num Queries:  998 | Num 429:  100 | CUs: 14979 | Data: 331 KiB [    29s @ 0 blocks/sec ]
Num Blocks:     1 | Num Queries: 1005 | Num 429:  108 | CUs: 15084 | Data: 331 KiB [    30s @ 0 blocks/sec ]
Num Blocks:     3 | Num Queries: 1048 | Num 429:  108 | CUs: 15731 | Data: 1.2 MiB [    31s @ 0 blocks/sec ]
Num Blocks:     3 | Num Queries: 1104 | Num 429:  110 | CUs: 16571 | Data: 1.2 MiB [    32s @ 0 blocks/sec ]
Num Blocks:     4 | Num Queries: 1160 | Num 429:  110 | CUs: 17412 | Data: 1.4 MiB [    33s @ 0 blocks/sec ]
Num Blocks:     4 | Num Queries: 1188 | Num 429:  115 | CUs: 17832 | Data: 1.4 MiB [    34s @ 0 blocks/sec ]
Num Blocks:     4 | Num Queries: 1245 | Num 429:  115 | CUs: 18687 | Data: 1.4 MiB [    35s @ 0 blocks/sec ]
Num Blocks:     4 | Num Queries: 1261 | Num 429:  123 | CUs: 18927 | Data: 1.4 MiB [    36s @ 0 blocks/sec ]
Num Blocks:     4 | Num Queries: 1303 | Num 429:  123 | CUs: 19557 | Data: 1.4 MiB [    37s @ 0 blocks/sec ]
Num Blocks:     4 | Num Queries: 1333 | Num 429:  131 | CUs: 20007 | Data: 1.4 MiB [    38s @ 0 blocks/sec ]
Num Blocks:     4 | Num Queries: 1360 | Num 429:  131 | CUs: 20412 | Data: 1.4 MiB [    39s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1402 | Num 429:  139 | CUs: 21043 | Data: 1.9 MiB [    40s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1420 | Num 429:  139 | CUs: 21313 | Data: 1.9 MiB [    41s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1476 | Num 429:  147 | CUs: 22153 | Data: 1.9 MiB [    42s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1480 | Num 429:  147 | CUs: 22213 | Data: 1.9 MiB [    43s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1546 | Num 429:  147 | CUs: 23203 | Data: 1.9 MiB [    44s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1550 | Num 429:  155 | CUs: 23263 | Data: 1.9 MiB [    45s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1607 | Num 429:  155 | CUs: 24118 | Data: 1.9 MiB [    46s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1620 | Num 429:  163 | CUs: 24313 | Data: 1.9 MiB [    47s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1666 | Num 429:  163 | CUs: 25003 | Data: 1.9 MiB [    48s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1693 | Num 429:  171 | CUs: 25408 | Data: 1.9 MiB [    49s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1726 | Num 429:  171 | CUs: 25903 | Data: 1.9 MiB [    50s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1765 | Num 429:  179 | CUs: 26488 | Data: 1.9 MiB [    51s @ 0 blocks/sec ]
Num Blocks:     5 | Num Queries: 1785 | Num 429:  179 | CUs: 26788 | Data: 1.9 MiB [    52s @ 0 blocks/sec ]
Num Blocks:     6 | Num Queries: 1835 | Num 429:  187 | CUs: 27539 | Data: 2.1 MiB [    53s @ 0 blocks/sec ]
